nsow,dh,yr_elev,upfront_cost,total_cost,bcr,reliability,satisficing
100000,0.0,0,0.0,4745351.2711943155,,0.10410150907998662,0.0
100000,0.0,10,0.0,4745351.2711943155,,0.10410150907998662,0.0
100000,0.0,20,0.0,4745351.2711943155,,0.10410150907998662,0.0
100000,0.4827586206896552,0,20745.0,4224165.834072896,26.123424300863835,0.1303383616342144,0.881
100000,0.4827586206896552,10,24667.420896662778,4234606.575278205,21.528240006346774,0.12470990699210405,0.296
100000,0.4827586206896552,20,28782.687579136647,4247583.364231085,18.032710863344683,0.11921260653522742,0.104
100000,0.9655172413793104,0,20745.0,3745682.6453685607,49.18841291037625,0.1600028333554985,4.336
100000,0.9655172413793104,10,24667.420896662778,3761816.6327958973,40.53854717550851,0.14736265511693758,1.694
100000,0.9655172413793104,20,28782.687579136647,3782543.1142039606,33.958538580731464,0.13541615601307588,0.54
100000,1.4482758620689655,0,20745.0,3323379.8221763102,69.54526146146087,0.19273675393031342,8.126
100000,1.4482758620689655,10,24667.420896662778,3344487.918844563,57.31884416171411,0.17173580693191842,3.807
100000,1.4482758620689655,20,28782.687579136647,3371993.0737386122,48.01795326854006,0.15246175082019178,1.284
100000,1.9310344827586208,0,20745.0,2950748.704538184,87.50771591497384,0.2280459590412565,12.024
100000,1.9310344827586208,10,24667.420896662778,2976204.63116211,72.12709708045243,0.19743482870146484,6.249
100000,1.9310344827586208,20,28782.687579136647,3009641.2229929725,60.42648850931156,0.1700688778524701,2.27
100000,2.413793103448276,0,20745.0,2621979.940139665,103.35581253577493,0.265343069148016,16.192
100000,2.413793103448276,10,24667.420896662778,2651238.6262309644,85.19362551481865,0.2240259049081157,8.937000000000001
100000,2.413793103448276,20,28782.687579136647,2689867.96740678,71.37664684303205,0.1879473316646975,3.396
100000,2.896551724137931,0,20745.0,2331903.7058225963,117.33875947802939,0.3039946152661866,20.952
100000,2.896551724137931,10,24667.420896662778,2364490.963227822,96.72345184058972,0.2510674146140751,11.860999999999999
100000,2.896551724137931,20,28782.687579136647,2407669.3561921464,81.03984319814603,0.20581615017066068,4.628
100000,3.3793103448275863,0,141893.79310344835,2197079.755060078,18.95900624262267,0.3433656913176962,10.005
100000,3.3793103448275863,10,168722.7725768496,2255489.719114036,15.628673356317554,0.27813760923410735,2.7640000000000002
100000,3.3793103448275863,20,196870.79856906275,2326689.1994230757,13.094969096907706,0.22341902653767956,0.32
100000,3.8620689655172415,0,142668.62068965516,1971920.6560582782,20.439667964331402,0.3828572284949589,14.377999999999998
100000,3.8620689655172415,10,169644.10293073292,2033034.590668634,16.84980652778227,0.3048559736459058,4.511
100000,3.8620689655172415,20,197945.83449779206,2107887.745370592,14.118572825726186,0.24053511514817977,0.596
100000,4.344827586206897,0,143443.44827586203,1773206.8153156617,21.71997356172587,0.42193328586042755,19.109
100000,4.344827586206897,10,170565.43328461636,1836712.7464513406,17.905783560838785,0.33089726971077854,6.557
100000,4.344827586206897,20,199020.8704265214,1914794.2442637843,15.003785348907144,0.2569850497701938,1.004
100000,4.827586206896552,0,144218.27586206893,1597766.1914122712,22.82514706244588,0.46013783364493155,23.822
100000,4.827586206896552,10,171486.76363849975,1663392.6952346654,18.817378701539557,0.355998517393941,8.821
100000,4.827586206896552,20,200095.9063552507,1744332.0395568607,15.767997322066064,0.2726326725438889,1.547
100000,5.310344827586207,0,144993.7684729064,1442803.2215132422,23.777172318948242,0.4971020324389373,28.494000000000003
100000,5.310344827586207,10,172408.88475846977,1510314.177100766,19.602701064926066,0.3799600056498094,11.333
100000,5.310344827586207,20,201171.8649736003,1593788.665982032,16.426371703993123,0.2873833742448286,2.1270000000000002
100000,5.793103448275862,0,145769.63054187197,1305855.4381273233,24.595421215525455,0.5325438868805308,32.895
100000,5.793103448275862,10,173331.44519293244,1375045.1659774054,20.27771117332939,0.40264182937503623,13.980999999999998
100000,5.793103448275862,20,202248.3361972946,1460773.4374416086,16.992275322406183,0.30118008829102044,2.818
100000,6.275862068965518,0,146545.4926108374,1184756.4706732982,25.296856471569853,0.5662624537190425,37.211
100000,6.275862068965518,10,174254.0056273951,1255445.6500525994,20.856387055623074,0.4239575011526683,16.451
100000,6.275862068965518,20,203324.8074209888,1343182.2069219057,17.477417041663408,0.3139979282401624,3.438
100000,6.758620689655173,0,147321.35467980293,1077602.3165599448,25.89624781557349,0.5981286751779138,41.215
100000,6.758620689655173,10,175176.5660618578,1149634.5237790672,21.350901574837984,0.4438660080682088,19.054
100000,6.758620689655173,20,204401.27864468304,1239165.0551874347,17.891995534145625,0.3258382904500378,4.1129999999999995
100000,7.241379310344828,0,148097.2167487685,982720.2986804995,26.406493485267372,0.6280745666564556,45.067
100000,7.241379310344828,10,176099.12649632042,1055958.9460652133,21.771886771060796,0.4623633915899726,21.681
100000,7.241379310344828,20,205477.74986837726,1147096.1987470228,18.24492013521787,0.3367230301893648,4.75
100000,7.724137931034483,0,148873.078817734,898641.6469479429,26.838853168046036,0.6560820587624543,48.588
100000,7.724137931034483,10,177021.68693078312,972967.3329341135,22.12862534047625,0.47947461157162646,24.056
100000,7.724137931034483,20,206554.22109207153,1065547.528680646,18.543970777237554,0.3466891102156007,5.379
100000,8.206896551724139,0,149648.9408866996,824077.0754383255,27.203153677678344,0.682172374989118,51.839
100000,8.206896551724139,10,177944.24736524586,899385.2929665222,22.429219757128894,0.4952461689117632,26.502
100000,8.206896551724139,20,207630.69231576583,993265.0235876361,18.79593929932951,0.355783943307775,6.001
100000,8.689655172413794,0,151542.41379310348,759012.7049716926,27.30510143295631,0.7063964705130145,54.505
100000,8.689655172413794,10,180195.7341398273,835423.1769171247,22.51347295521412,0.5097397313757164,28.560999999999996
100000,8.689655172413794,20,210257.79470692435,930698.4204989267,18.86658097562167,0.3640615151669742,6.307
100000,9.172413793103448,0,155163.1034482759,703065.2383542624,27.051850878244153,0.7288267854582888,56.607
100000,9.172413793103448,10,184501.01616731973,780824.1552240757,22.304829537226592,0.5230268404538673,29.994
100000,9.172413793103448,20,215281.32708416414,877727.1750555956,18.69174401347078,0.37157928198259016,6.2059999999999995
100000,9.655172413793103,0,158783.79310344835,653636.1667167555,26.76909786889769,0.749550375059233,58.458
100000,9.655172413793103,10,188806.29819481217,732672.8693503386,22.071832048784838,0.5351846662616239,31.151
100000,9.655172413793103,20,220304.85946140398,831106.6378492493,18.49647451693691,0.37839577979587075,5.956
100000,10.13793103448276,0,162404.48275862072,609960.8353760124,26.46352394696316,0.7686633561143015,60.031
100000,10.13793103448276,10,193111.58022230462,690213.1199081388,21.819993034476013,0.5462927118997074,32.112
100000,10.13793103448276,20,225328.39183864373,790092.2146949542,18.28539617453603,0.38456885214996195,5.586
100000,10.620689655172415,0,166025.17241379313,571368.0428363439,26.140664922515107,0.7862665412485973,61.436
100000,10.620689655172415,10,197416.8622497971,652781.0616875147,21.55388015693831,0.556430339184032,32.931
100000,10.620689655172415,20,230351.92421588357,754030.1629531911,18.06234048518531,0.3901543935063469,5.1049999999999995
100000,11.10344827586207,0,169645.86206896554,537268.4499328578,25.805101462190457,0.802462101291869,62.66199999999999
100000,11.10344827586207,10,201722.1442772895,619793.7631969982,21.277273286080142,0.5656749799589144,33.550000000000004
100000,11.10344827586207,20,235375.45659312332,722346.354987271,17.830478372335875,0.3952055090067924,4.594
100000,11.586206896551724,0,173266.55172413794,507144.4037557535,25.460617616412883,0.8173510859327391,63.751999999999995
100000,11.586206896551724,10,206027.42630478195,590739.1600262574,20.993295181424312,0.5741009005697493,33.967000000000006
100000,11.586206896551724,20,240398.98897036316,694536.4074561148,17.592429692362803,0.39977199909323363,3.9690000000000003
100000,12.068965517241379,0,176887.2413793103,480541.0137783577,25.110332798229688,0.8310316426247847,64.727
100000,12.068965517241379,10,210332.7083322744,565167.2423045541,20.70452030450936,0.581778400277052,34.178
100000,12.068965517241379,20,245422.52134760292,670157.0204062765,17.350354431990628,0.4039000898318822,3.347
100000,12.551724137931036,0,180507.93103448272,457058.3335064282,24.756811753987073,0.8435977921032469,65.575
100000,12.551724137931036,10,214637.99035976685,542682.3320775301,20.413065498455058,0.5887733423362984,34.13
100000,12.551724137931036,20,250446.05372484267,648818.3852700621,17.106028721041117,0.4076323435519347,2.752
100000,13.03448275862069,0,184128.62068965522,436344.51658042084,24.40215626704027,0.8551386388316867,66.305
100000,13.03448275862069,10,218943.2723872593,522936.32169991854,20.120665614662972,0.5951469344061026,33.838
100000,13.03448275862069,20,255469.5861020825,630177.5357446751,16.86090823726506,0.41100769778071466,2.21
100000,13.517241379310345,0,187749.31034482754,418089.83024799294,24.04808168402168,0.8657379145879815,66.83099999999999
100000,13.517241379310345,10,223248.55441475174,505622.75804842333,19.82873663054965,0.6009556908419683,33.300000000000004
100000,13.517241379310345,20,260493.11847932232,613932.528856052,16.61618113194101,0.41406159185078184,1.7149999999999999
100000,14.0,0,191370.0,402021.42193778703,23.69598081860547,0.8754737717359963,67.247
100000,14.0,10,227553.83644224412,490471.6699239904,19.53842836239847,0.6062515233044893,32.436
100000,14.0,20,265516.65085656213,599817.3557516766,16.372812237247178,0.41682614989638905,1.281
